Method,Method UUID,Indicator,Indicator UUID,Indicator unit,Flowable,Flow UUID,Context,Unit,CAS No,Characterization factor
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, annual crop",c5aafa60-495c-461c-a1d4-b262a34c45b9,natural resource|land,m2*year,,0.61
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, annual crop, flooded crop",7956039f-1181-42ab-b03b-ba9992733394,natural resource|land,m2*year,,0.61
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, annual crop, greenhouse",9e80f7cd-47fa-4c7f-8f2c-bdb9731b3196,natural resource|land,m2*year,,0.61
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, annual crop, irrigated",c4a82f46-381f-474c-a362-3363064b9c33,natural resource|land,m2*year,,0.61
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, annual crop, irrigated, extensive",12c7671c-e4aa-46c6-93c5-b6f9ac1c453b,natural resource|land,m2*year,,0.61
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, annual crop, irrigated, intensive",9fd128fe-d8c5-476f-af42-2795d5f5d227,natural resource|land,m2*year,,0.74
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, annual crop, non-irrigated",a6889a22-e99e-42ea-85cd-4a68d7975dcd,natural resource|land,m2*year,,0.61
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, annual crop, non-irrigated, extensive",1b0a8570-eab4-46c2-9b67-c9b918e75676,natural resource|land,m2*year,,0.61
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, annual crop, non-irrigated, intensive",e063ee9c-9850-42b5-b01e-4cc9b5ad7152,natural resource|land,m2*year,,0.74
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, bare area (non-use)",c991a302-884f-4882-a094-e1b8f1d4c6b0,natural resource|land,m2*year,,0.19
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, construction site",4b6b9b76-3199-4bd0-b11d-f8f2efbeac4e,natural resource|land,m2*year,,0.7
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, cropland fallow (non-use)",5d615a38-6d0a-4f3a-8973-69b333b6e814,natural resource|land,m2*year,,-0.11
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, dump site",1eaa9ea4-40b8-414a-b198-5626400372e1,natural resource|land,m2*year,,0.7
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, field margin/hedgerow",8222627a-0ca1-4632-894c-94d0e21064a1,natural resource|land,m2*year,,-0.32
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, forest, extensive",2925111b-3464-4e34-9d02-b73c1c033e91,natural resource|land,m2*year,,0.29
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, forest, intensive",aca1714f-0040-4a65-a73a-0e38aa9f50f4,natural resource|land,m2*year,,0.63
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, forest, secondary (non-use)",84b11d12-a078-44e7-9d6e-7675a0e23c4d,natural resource|land,m2*year,,0.49
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, forest, unspecified",b91d0527-9a01-4a86-b420-c62b70629ba4,natural resource|land,m2*year,,0.49
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, grassland, natural (non-use)",2b8a0f87-bd2a-4b10-8dd9-714487f59fc9,natural resource|land,m2*year,,0.52
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, grassland, natural, for livestock grazing",e780232c-898f-4606-8d21-f8589801ebe6,natural resource|land,m2*year,,0.52
Ecosystem Damage Potential,7cafb86a10ca42c5a06e6671935129f9,land occupation|ecosystem damage potential,8a2c1d863e80430f958ba02e76fe130d,points,"Occupation, heterogeneous, agricultural",69c7d771-04fc-499e-84f8-6c7b923b8ced,natural resource|land,m2*year,,0.61
